identifier	sample_id	contig_id	BGC_start	BGC_end	BGC_length	deepBGC	GECCO	antiSMASH	merged	Product_class	Tool_representative	BGC_probability	mmseqs_lineage_contig
BAN001_NODE_151_0	BAN001-megahit	NODE_151_length_12758_cov_35.8	853.0	7768.0	6915.0	Yes			1	Unknown	deepBGC	0.8435	
BAN001_NODE_1531_0	BAN001-megahit	NODE_1531_length_4980_cov_35.0	567.0	4633.0	4066.0	Yes			1	Polyketide	deepBGC	0.91313	
BAN001_NODE_1533_0	BAN001-megahit	NODE_1533_length_4977_cov_38.3	443.0	4681.0	4238.0	Yes			1	Terpene	deepBGC	0.71474	
BAN001_NODE_1540_0	BAN001-megahit	NODE_1540_length_4954_cov_36.5	697.0	3805.0	3108.0	Yes			1	Unknown	deepBGC	0.82251	
BAN001_NODE_1566_0	BAN001-megahit	NODE_1566_length_4901_cov_32.8	693.0	4031.0	3338.0	Yes			1	Unknown	deepBGC	0.82625	
BAN001_NODE_160_0	BAN001-megahit	NODE_160_length_12588_cov_34.7	845.0	11663.0	10818.0	Yes			1	Polyketide	deepBGC	0.93448	
BAN001_NODE_1613_0	BAN001-megahit	NODE_1613_length_4803_cov_33.6	406.0	3524.0	3118.0	Yes			1	Unknown	deepBGC	0.81723	
BAN001_NODE_1651_0	BAN001-megahit	NODE_1651_length_4737_cov_35.8	258.0	4652.0	4394.0	Yes			1	Terpene	deepBGC	0.97095	
BAN001_NODE_166_0	BAN001-megahit	NODE_166_length_12537_cov_34.2	708.0	9932.0	9224.0	Yes	Yes		2	Polyketide, Unknown	deepBGC	0.78349	
BAN001_NODE_1660_0	BAN001-megahit	NODE_1660_length_4718_cov_35.4	244.0	3581.0	3337.0	Yes			1	Polyketide	deepBGC	0.97338	
BAN001_NODE_1666_0	BAN001-megahit	NODE_1666_length_4708_cov_31.7	785.0	4683.0	3898.0	Yes			1	Unknown	deepBGC	0.66436	
BAN001_NODE_168_0	BAN001-megahit	NODE_168_length_12517_cov_36.6	3661.0	10772.0	7111.0		Yes		1	Unknown	GECCO	0.9697515968724704	
BAN001_NODE_1684_0	BAN001-megahit	NODE_1684_length_4669_cov_39.7	360.0	3990.0	3630.0		Yes		1	Unknown	GECCO	0.8849330962911997	
BAN001_NODE_1685_0	BAN001-megahit	NODE_1685_length_4668_cov_33.6	158.0	3728.0	3570.0	Yes			1	Unknown	deepBGC	0.60619	
BAN001_NODE_1687_0	BAN001-megahit	NODE_1687_length_4664_cov_36.5	1403.0	4617.0	3214.0	Yes			1	Polyketide	deepBGC	0.71952	
BAN001_NODE_1699_0	BAN001-megahit	NODE_1699_length_4653_cov_35.8	112.0	4346.0	4234.0		Yes		1	Unknown	GECCO	0.9588049519633248	
BAN001_NODE_1723_0	BAN001-megahit	NODE_1723_length_4600_cov_33.4	591.0	3798.0	3207.0	Yes			1	Unknown	deepBGC	0.94625	
BAN001_NODE_173_0	BAN001-megahit	NODE_173_length_12437_cov_44.6	191.0	11498.0	11307.0	Yes	Yes		2	RiPP	deepBGC	0.9211	
BAN001_NODE_176_0	BAN001-megahit	NODE_176_length_12332_cov_36.2	5645.0	11926.0	6281.0	Yes			1	Polyketide	deepBGC	0.86947	
BAN001_NODE_178_0	BAN001-megahit	NODE_178_length_12215_cov_37.1	2525.0	12046.0	9521.0	Yes			1	NRP	deepBGC	0.77434	
BAN001_NODE_179_0	BAN001-megahit	NODE_179_length_12206_cov_36.6	2387.0	11861.0	9474.0	Yes			1	Polyketide	deepBGC	0.86312	
BAN001_NODE_1800_0	BAN001-megahit	NODE_1800_length_4469_cov_36.4	21.0	4396.0	4375.0	Yes			1	Unknown	deepBGC	0.60811	
BAN001_NODE_1802_0	BAN001-megahit	NODE_1802_length_4461_cov_37.9	277.0	3710.0	3433.0	Yes			1	Polyketide	deepBGC	0.99571	
BAN001_NODE_1803_0	BAN001-megahit	NODE_1803_length_4453_cov_35.5	61.0	3689.0	3628.0	Yes			1	Polyketide	deepBGC	0.71946	
BAN001_NODE_1807_0	BAN001-megahit	NODE_1807_length_4449_cov_32.9	1023.0	4384.0	3361.0	Yes			1	Unknown	deepBGC	0.75262	
BAN001_NODE_1819_0	BAN001-megahit	NODE_1819_length_4436_cov_33.4	853.0	4292.0	3439.0	Yes			1	Unknown	deepBGC	0.76514	
BAN001_NODE_182_0	BAN001-megahit	NODE_182_length_12098_cov_35.3	1296.0	10986.0	9690.0	Yes	Yes		2	NRP	deepBGC	0.81129	
BAN001_NODE_1832_0	BAN001-megahit	NODE_1832_length_4418_cov_32.6	488.0	3781.0	3293.0	Yes			1	Unknown	deepBGC	0.85746	
BAN001_NODE_185_0	BAN001-megahit	NODE_185_length_12055_cov_37.5	1863.0	8908.0	7045.0	Yes			1	NRP	deepBGC	0.69001	
BAN001_NODE_1872_0	BAN001-megahit	NODE_1872_length_4346_cov_35.5	13.0	3475.0	3462.0	Yes			1	Unknown	deepBGC	0.66248	
BAN001_NODE_188_0	BAN001-megahit	NODE_188_length_11999_cov_35.4	3516.0	11585.0	8069.0	Yes			1	Unknown	deepBGC	0.82114	
BAN001_NODE_189_0	BAN001-megahit	NODE_189_length_11996_cov_36.3	874.0	7244.0	6370.0	Yes			1	Polyketide	deepBGC	0.6714	
BAN001_NODE_19_0	BAN001-megahit	NODE_19_length_19231_cov_38.1	373.0	10170.0	9797.0	Yes			1	Terpene	deepBGC	0.60307	
BAN001_NODE_191_0	BAN001-megahit	NODE_191_length_11968_cov_35.8	148.0	11136.0	10988.0	Yes			1	Terpene	deepBGC	0.92972	
BAN001_NODE_1911_0	BAN001-megahit	NODE_1911_length_4284_cov_34.9	729.0	3843.0	3114.0	Yes			1	NRP	deepBGC	0.62969	
BAN001_NODE_195_1	BAN001-megahit	NODE_195_length_11885_cov_35.4	346.0	8814.0	8468.0	Yes	Yes		2	Unknown	deepBGC	0.97821	
BAN001_NODE_1952_0	BAN001-megahit	NODE_1952_length_4215_cov_32.2	894.0	4058.0	3164.0	Yes			1	Other	deepBGC	0.69599	
BAN001_NODE_1981_0	BAN001-megahit	NODE_1981_length_4172_cov_31.5	127.0	4102.0	3975.0		Yes		1	Unknown	GECCO	0.9014659021129628	
BAN001_NODE_20_0	BAN001-megahit	NODE_20_length_19164_cov_38.5	5198.0	17833.0	12635.0	Yes			1	Polyketide	deepBGC	0.65734	
BAN001_NODE_2001_0	BAN001-megahit	NODE_2001_length_4156_cov_33.5	254.0	3841.0	3587.0	Yes			1	Polyketide	deepBGC	0.80253	
BAN001_NODE_201_0	BAN001-megahit	NODE_201_length_11815_cov_35.1	4299.0	8820.0	4521.0		Yes		1	Unknown	GECCO	0.9647090210066744	
BAN001_NODE_2024_0	BAN001-megahit	NODE_2024_length_4122_cov_35.2	147.0	3682.0	3535.0	Yes			1	Terpene	deepBGC	0.71462	
BAN001_NODE_207_0	BAN001-megahit	NODE_207_length_11763_cov_36.7	3695.0	11156.0	7461.0	Yes			1	Polyketide	deepBGC	0.80115	
BAN001_NODE_208_0	BAN001-megahit	NODE_208_length_11750_cov_38.3	3347.0	8999.0	5652.0	Yes			1	Polyketide	deepBGC	0.70138	
BAN001_NODE_2082_0	BAN001-megahit	NODE_2082_length_4033_cov_38.1	3.0	3165.0	3162.0		Yes		1	Unknown	GECCO	0.9782111606548488	
BAN001_NODE_21_0	BAN001-megahit	NODE_21_length_19035_cov_35.0	484.0	14251.0	13767.0	Yes			1	Unknown	deepBGC	0.74042	
BAN001_NODE_212_0	BAN001-megahit	NODE_212_length_11741_cov_35.9	1908.0	11417.0	9509.0	Yes			1	Polyketide	deepBGC	0.79702	
BAN001_NODE_214_0	BAN001-megahit	NODE_214_length_11700_cov_37.7	862.0	9580.0	8718.0	Yes			1	Unknown	deepBGC	0.62935	
BAN001_NODE_2169_0	BAN001-megahit	NODE_2169_length_3891_cov_31.6	90.0	3719.0	3629.0	Yes			1	Unknown	deepBGC	0.76457	
BAN001_NODE_217_0	BAN001-megahit	NODE_217_length_11629_cov_35.8	971.0	11264.0	10293.0	Yes			1	Unknown	deepBGC	0.79644	
BAN001_NODE_2185_0	BAN001-megahit	NODE_2185_length_3871_cov_31.1	109.0	3555.0	3446.0	Yes			1	Unknown	deepBGC	0.82015	
BAN001_NODE_219_0	BAN001-megahit	NODE_219_length_11577_cov_34.6	1467.0	8556.0	7089.0	Yes			1	Unknown	deepBGC	0.68586	
BAN001_NODE_221_0	BAN001-megahit	NODE_221_length_11516_cov_35.4	3427.0	10469.0	7042.0		Yes		1	Unknown	GECCO	0.996810641349528	
BAN001_NODE_236_0	BAN001-megahit	NODE_236_length_11218_cov_35.3	3099.0	8673.0	5574.0	Yes			1	Unknown	deepBGC	0.63561	
BAN001_NODE_24_0	BAN001-megahit	NODE_24_length_18604_cov_35.9	1223.0	13715.0	12492.0	Yes			1	Unknown	deepBGC	0.76001	
BAN001_NODE_240_0	BAN001-megahit	NODE_240_length_11183_cov_34.6	1393.0	10653.0	9260.0	Yes	Yes		2	Polyketide, Unknown	deepBGC	0.64803	
BAN001_NODE_2409_0	BAN001-megahit	NODE_2409_length_3536_cov_33.9	468.0	3492.0	3024.0	Yes			1	Polyketide	deepBGC	0.69853	
BAN001_NODE_242_0	BAN001-megahit	NODE_242_length_11129_cov_34.8	363.0	11021.0	10658.0	Yes	Yes		2	Unknown	deepBGC	0.94867	
BAN001_NODE_247_0	BAN001-megahit	NODE_247_length_11088_cov_35.5	3392.0	7181.0	3789.0	Yes			1	NRP	deepBGC	0.79263	
BAN001_NODE_255_0	BAN001-megahit	NODE_255_length_11002_cov_37.0	1333.0	9906.0	8573.0	Yes			1	Unknown	deepBGC	0.616	
BAN001_NODE_256_0	BAN001-megahit	NODE_256_length_10975_cov_38.1	3829.0	9997.0	6168.0	Yes			1	Other	deepBGC	0.68596	
BAN001_NODE_2574_0	BAN001-megahit	NODE_2574_length_3338_cov_32.4	262.0	3262.0	3000.0	Yes			1	Polyketide	deepBGC	0.84911	
BAN001_NODE_267_0	BAN001-megahit	NODE_267_length_10846_cov_36.7	905.0	10292.0	9387.0	Yes			1	Unknown	deepBGC	0.71212	
BAN001_NODE_271_0	BAN001-megahit	NODE_271_length_10788_cov_35.1	78.0	9895.0	9817.0	Yes			1	Terpene	deepBGC	0.83019	
BAN001_NODE_273_0	BAN001-megahit	NODE_273_length_10786_cov_36.5	82.0	9566.0	9484.0	Yes			1	Unknown	deepBGC	0.67066	
BAN001_NODE_276_0	BAN001-megahit	NODE_276_length_10754_cov_36.3	459.0	9986.0	9527.0		Yes		1	Unknown	GECCO	0.9006010763209402	
BAN001_NODE_278_0	BAN001-megahit	NODE_278_length_10741_cov_33.0	1563.0	5001.0	3438.0	Yes	Yes		2	Unknown	deepBGC	0.80781	
BAN001_NODE_28_0	BAN001-megahit	NODE_28_length_18143_cov_33.8	1083.0	17835.0	16752.0	Yes			1	Unknown	deepBGC	0.662	
BAN001_NODE_281_0	BAN001-megahit	NODE_281_length_10707_cov_36.1	1374.0	10077.0	8703.0	Yes	Yes		2	Polyketide, Terpene	deepBGC	0.92685	
BAN001_NODE_284_0	BAN001-megahit	NODE_284_length_10670_cov_36.9	592.0	4105.0	3513.0	Yes			1	Unknown	deepBGC	0.61041	
BAN001_NODE_286_0	BAN001-megahit	NODE_286_length_10652_cov_35.0	4300.0	7706.0	3406.0	Yes			1	Unknown	deepBGC	0.69639	
BAN001_NODE_287_0	BAN001-megahit	NODE_287_length_10648_cov_36.1	3874.0	9982.0	6108.0	Yes			1	Unknown	deepBGC	0.60874	
BAN001_NODE_290_0	BAN001-megahit	NODE_290_length_10620_cov_34.6	1041.0	4494.0	3453.0	Yes			1	Polyketide	deepBGC	0.77804	
BAN001_NODE_291_1	BAN001-megahit	NODE_291_length_10607_cov_34.3	712.0	10453.0	9741.0	Yes	Yes		2	Polyketide	deepBGC	0.99231	
BAN001_NODE_293_0	BAN001-megahit	NODE_293_length_10602_cov_30.3	465.0	10111.0	9646.0	Yes	Yes		2	Terpene, Unknown	deepBGC	0.9929	
BAN001_NODE_294_0	BAN001-megahit	NODE_294_length_10594_cov_34.4	227.0	10322.0	10095.0	Yes			1	Unknown	deepBGC	0.72943	
BAN001_NODE_3_1	BAN001-megahit	NODE_3_length_26824_cov_59.4	55.0	26596.0	26541.0	Yes	Yes		2	Unknown	deepBGC	0.95618	
BAN001_NODE_303_0	BAN001-megahit	NODE_303_length_10428_cov_36.3	707.0	8596.0	7889.0	Yes			1	Polyketide	deepBGC	0.91748	
BAN001_NODE_307_0	BAN001-megahit	NODE_307_length_10324_cov_37.4	459.0	6529.0	6070.0	Yes			1	Polyketide	deepBGC	0.83863	
BAN001_NODE_308_0	BAN001-megahit	NODE_308_length_10306_cov_33.8	610.0	8423.0	7813.0	Yes			1	Unknown	deepBGC	0.73378	
BAN001_NODE_314_0	BAN001-megahit	NODE_314_length_10276_cov_36.6	704.0	6239.0	5535.0	Yes			1	Unknown	deepBGC	0.64618	
BAN001_NODE_318_0	BAN001-megahit	NODE_318_length_10239_cov_34.6	136.0	6089.0	5953.0		Yes		1	Polyketide	GECCO	0.9939106797355955	
BAN001_NODE_323_0	BAN001-megahit	NODE_323_length_10186_cov_34.9	266.0	7715.0	7449.0	Yes			1	Polyketide	deepBGC	0.60426	
BAN001_NODE_333_0	BAN001-megahit	NODE_333_length_10009_cov_34.6	1829.0	4905.0	3076.0	Yes			1	Unknown	deepBGC	0.64647	
BAN001_NODE_338_0	BAN001-megahit	NODE_338_length_9933_cov_35.1	2683.0	9703.0	7020.0	Yes			1	Unknown	deepBGC	0.8092	
BAN001_NODE_341_0	BAN001-megahit	NODE_341_length_9898_cov_37.7	1414.0	8031.0	6617.0	Yes			1	Unknown	deepBGC	0.70265	
BAN001_NODE_345_0	BAN001-megahit	NODE_345_length_9792_cov_34.0	3.0	8746.0	8743.0		Yes		1	Unknown	GECCO	0.9749550220695417	
BAN001_NODE_347_0	BAN001-megahit	NODE_347_length_9745_cov_34.4	441.0	9408.0	8967.0	Yes			1	Unknown	deepBGC	0.74182	
BAN001_NODE_350_0	BAN001-megahit	NODE_350_length_9736_cov_35.3	1941.0	6851.0	4910.0		Yes		1	Unknown	GECCO	0.984968301892664	
BAN001_NODE_351_0	BAN001-megahit	NODE_351_length_9712_cov_35.0	3.0	7756.0	7753.0		Yes		1	NRP	GECCO	0.9953578032472886	
BAN001_NODE_358_0	BAN001-megahit	NODE_358_length_9669_cov_35.4	266.0	9297.0	9031.0	Yes			1	Polyketide	deepBGC	0.97214	
BAN001_NODE_36_0	BAN001-megahit	NODE_36_length_17508_cov_34.3	645.0	16830.0	16185.0	Yes			1	Unknown	deepBGC	0.62272	
BAN001_NODE_360_0	BAN001-megahit	NODE_360_length_9658_cov_37.0	90.0	9591.0	9501.0	Yes			1	Unknown	deepBGC	0.92573	
BAN001_NODE_365_0	BAN001-megahit	NODE_365_length_9632_cov_35.9	768.0	9406.0	8638.0	Yes			1	Polyketide	deepBGC	0.67063	
BAN001_NODE_375_0	BAN001-megahit	NODE_375_length_9527_cov_34.2	5977.0	9464.0	3487.0	Yes			1	Unknown	deepBGC	0.8408	
BAN001_NODE_377_0	BAN001-megahit	NODE_377_length_9495_cov_35.6	883.0	5282.0	4399.0		Yes		1	Unknown	GECCO	0.992067569475158	
BAN001_NODE_379_0	BAN001-megahit	NODE_379_length_9470_cov_36.1	1630.0	7627.0	5997.0	Yes	Yes		2	Unknown	deepBGC	0.88806	
